Start,End,Open,High,Low,Close,Volume,Market Cap
2023-01-03,2023-01-04,16673.74874672506,16763.447292054305,16616.632381096962,16675.90903725487,29648327502.22222,320717370492.64636
2023-01-04,2023-01-05,16674.5087,16973.381190901993,16658.433944630175,16857.282709442374,39384163470.22222,323386238092.0662
2023-01-05,2023-01-06,16852.13278637077,16877.1266,16781.4648,16828.8464,38960056725.333336,323447365297.4649
2023-01-06,2023-01-07,16831.1192,17005.497083184826,16707.851030669914,16953.972066580434,34958072839.111115,323401240878.4581
2023-01-07,2023-01-08,16951.158324185577,16974.4015,16909.746774392475,16944.5396,34306384469.333332,325462473921.016
2023-01-08,2023-01-09,16943.76168291715,17070.574511476352,16919.177228349756,17070.574511476352,21776089962.666668,325634745856.4443
2023-01-09,2023-01-10,17114.08109101332,17390.39293228902,17114.08109101332,17194.77873456542,40370843456,331229579389.19604
2023-01-10,2023-01-11,17179.14283387484,17487.8535,17159.3098,17435.7516459177,45095406947.55556,332210727772.8568
2023-01-11,2023-01-12,17439.74515075714,17939.362499760573,17333.666863626866,17939.362499760573,43812401706.666664,335425060457.1886
2023-01-12,2023-01-13,17943.630925609308,19028.6547,17924.50068731902,18858.6646,72766611569.77777,352447180923.38556
2023-01-13,2023-01-14,18851.0079,19975.946903075732,18732.6096,19913.729474529402,81808386801.77777,366524446229.49945
2023-01-14,2023-01-15,19921.96715782315,21149.597101650263,19921.96715782315,20983.9756,105421992305.77777,400016119807.21533
2023-01-15,2023-01-16,20951.2141,20995.267229932684,20577.7361,20856.05839135823,63212388593.77778,399290962980.58716
2023-01-16,2023-01-17,20874.7874806025,21410.3251,20728.066099825955,21171.04828454444,60636932849.77778,404248788951.314
2023-01-17,2023-01-18,21183.018445408037,21443.702726389765,20959.502443318313,21157.189612933496,51515154112,407281986003.9492
2023-01-18,2023-01-19,21136.70787628226,21549.6846,20545.969726711024,20686.510419770384,58478858168.888885,405901077389.21356
2023-01-19,2023-01-20,20669.595812479274,21157.11992922482,20666.8001,21082.058204303703,77983080988.44444,400657798034.22644
2023-01-20,2023-01-21,21074.9455313152,22687.3555,20919.9508,22665.7507,64447751466.666664,409361228122.49896
2023-01-21,2023-01-22,22667.3593,23304.148165511386,22506.416377106016,22751.6074,101033856768,439681601945.2148
2023-01-22,2023-01-23,22777.8509,23052.145,22368.6486,22723.9532,79716701624.88889,438227794320.40405
2023-01-23,2023-01-24,22717.532,23139.660215422402,22667.965,22944.9201,73343525504,438704643177.66815
2023-01-24,2023-01-25,22917.8383,23150.6889,22569.1259,22614.658440741397,79571624078.22223,441263614330.7605
2023-01-25,2023-01-26,22633.85277825393,23718.1854,22366.5718,23125.7229,82625725354.66667,436292420539.3964
2023-01-26,2023-01-27,23075.995935171006,23241.72718709555,22890.2856,23007.8352,94982498161.77777,443277697796.4922
2023-01-27,2023-01-28,23018.1861,23408.254820954564,22630.0293,23051.2708,74589340814.22223,441867204640.3495
2023-01-28,2023-01-29,23071.4588,23180.188459313038,22896.0926,23007.4396,62781856583.111115,442400933872.3891
2023-01-29,2023-01-30,23024.957,23926.159,22980.0444,23775.9829,60729082837.333336,450311320776.1693
2023-01-30,2023-01-31,23749.461,23786.6488,22672.986728828946,22814.4792,79832137386.66667,447341538002.0699
2023-01-31,2023-02-01,22833.314,23223.475,22744.93,23153.2004,74707896120.88889,441277755446.3309
2023-02-01,2023-02-02,23130.9161,23767.4245,22826.0582,23706.0643,70420783232,445139551628.50824
2023-02-02,2023-02-03,23719.3791,24244.3654,23427.4962,23484.9488,95457905635.55556,457606581414.67896
2023-02-03,2023-02-04,23468.9785,23685.8328,23272.5314,23429.76,90857177059.55556,451135790206.37286
2023-02-04,2023-02-05,23431.6868,23565.3339,23282.522980138896,23315.8076,68664568348.44444,449440662853.7704
2023-02-05,2023-02-06,23324.6017,23427.100983089294,22838.9586,22938.184691051243,50759004586.666664,445705064700.0051
2023-02-06,2023-02-07,22931.358815666863,23145.131802894794,22670.6895,22747.465,64529839445.333336,440155573314.3414
2023-02-07,2023-02-08,22756.372,23322.6114,22756.372,23261.2186,73192527388.44444,441665444159.25977
2023-02-08,2023-02-09,23251.8694,23373.521,22719.144,22949.2132,78220219463.11111,443882834565.14575
2023-02-09,2023-02-10,22961.8383,22984.0285,21754.61260584076,21799.182107847242,85459684181.33333,433062290866.3157
2023-02-10,2023-02-11,21788.528513480855,21933.0975,21488.4665,21648.2846,98156502357.33333,418380708288.81366
2023-02-11,2023-02-12,21635.5236,21889.2509,21609.124,21865.7753,69262238051.55556,416995412358.5228
2023-02-12,2023-02-13,21864.4863,22087.187855728745,21676.758666612837,21753.753226727626,48142213404.44444,420085157121.85675
2023-02-13,2023-02-14,21784.9464,21884.0971,21435.239489971147,21810.9904859392,61574705934.22222,416589636079.0491
2023-02-14,2023-02-15,21773.528172428974,22263.51498868609,21611.942926028532,22200.0306,68706157127.111115,420777950389.79047
2023-02-15,2023-02-16,22202.6563,24324.464026285455,22058.06123764736,24324.464026285455,74461915525.56029,436286912096.11285
2023-02-16,2023-02-17,24331.047589544174,25188.2965,23531.7304,23531.7304,86355573589.33333,472944068431.67114
2023-02-17,2023-02-18,23549.9584,24978.7723,23540.3108,24558.3155,90976381553.77777,461494428237.81323
2023-02-18,2023-02-19,24566.9638,24816.0071253343,24458.9452,24644.0369,77159018993.77777,472949167336.39624
2023-02-19,2023-02-20,24632.5653,25115.787601195905,24323.5789,24332.2815,39183466296.888885,473530579189.8197
2023-02-20,2023-02-21,24295.4446,25051.767522671667,23907.484161942484,24797.2219,57637586702.22222,473848612799.3005
2023-02-21,2023-02-22,24840.391604326895,25099.5248,24175.3831,24426.1719,56920857216,474555205020.6286
2023-02-22,2023-02-23,24453.2537,24466.1821,23611.2474,24192.9805,68682894492.44444,461519695015.2043
2023-02-23,2023-02-24,24189.6192,24582.699504558812,23674.5002,23949.1025,58942510065.77778,463640412591.9747
2023-02-24,2023-02-25,23938.3238,24105.2257,22959.572209320744,23197.7565,52740902471.111115,454127796081.11273
2023-02-25,2023-02-26,23190.4354,23200.5083,22828.3886,23170.0132,43845686168.52962,442894868631.196
2023-02-26,2023-02-27,23164.8803,23657.080221241573,23068.1735,23531.2037,30763870151.11111,446966838419.8596
2023-02-27,2023-02-28,23556.2553,23876.8245,23174.93016739696,23508.264699161653,37836599964.44444,450621818516.82996
